選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
金子　幸央,14861,101期,関東,宇都宮,栃木県,両,1993/1/25,-,-,隅田　洋介（岡　山・107期）、神山　尚（栃　木・109期）、眞杉　匠（栃　木・113期）、秋本耀太郎（栃　木・117期）、小池　千啓（栃　木・119期）、中村　隆生（栃　木・117期）、関　貴之（茨　城・93期）,西方グループ,日里　寿行（栃　木・46期）,-,-,1,ステーキ、ホタルイカ,なし
兼本　将太,15477,117期,九州,熊本,熊本県,逃,1996/11/24,-,鈴木　玄人（東　京・117期）、松本　一志（宮　崎・117期）、上川　直紀（栃　木・117期）、石原　颯（香　川・117期）、道場　晃規（静　岡・117期）、長谷部龍一（岐　阜・117期）、櫻井祐太郎（宮　城・117期）,倉岡慎太郎（熊　本・59期）、大窪　輝之（熊　本・72期）、中本　匠栄（熊　本・97期）、上野　優太（熊　本・113期）、嘉永　泰斗（熊　本・113期）,甲佐グループ,倉岡慎太郎（熊　本・59期）,-,500m,1,ラーメン,トマト、キュウリ
神尾　敬冬,15709,123期,南関東,-,静岡県,逃,1999/11/13,-,児玉虎之介（岐　阜・123期）,-,-,齋藤　友幸（静　岡・90期）,-,400m,１・２・３,ゼリー、シュークリーム,貝類
上吹越　直樹,13824,86期,九州,-,鹿児島県,両,1981/11/18,上吹越 俊一(兄99期)堀内 福成(従兄80期・引退),吉川　裕二（大　分・86期）,内村　豪（鹿児島・67期）、大竹野裕樹（鹿児島・88期）、近藤　悠人（鹿児島・93期）、川又　裕樹（鹿児島・97期）、上吹越俊一（鹿児島・99期）,黒虎グループ,内村　豪（鹿児島・67期）,-,-,4,寿司,ナス
神山　拓弥,14140,91期,関東,宇都宮,栃木県,追,1987/1/24,-,-,古川　尚耶（栃　木・92期）、齋藤　昌太（栃　木・93期）,-,神山雄一郎（栃　木・61期）,岡田　泰地（栃　木・100期）,-,9,寿司,とんかつ
河合　佑弥,15252,113期,関東,京王閣,東京都,逃,1994/9/7,-,嘉永　泰斗（熊　本・113期）、藤井　將（広　島・113期）、磯川　勝裕（東　京・113期）、小林　泰正（群　馬・113期）,内田　玄希（東　京・94期）、梅川　風子（東　京・112期）、川越　宏臣（東　京・125期）,京桜会,内田　玄希（東　京・94期）,-,400m,2,焼肉,なし
川上　隆義,15793,125期,関東,宇都宮,栃木県,逃,2000/9/26,-,貝原　涼太（栃　木・125期）、藤野　竜也（栃　木・117期）,貝原　涼太（栃　木・125期）,-,古川　尚耶（栃　木・92期）,-,400m,1,おすし,トマト
川口　公太朗,14700,98期,中部,岐阜,岐阜県,追,1990/2/1,川口 聖二(弟103期),松田　大（富　山・98期）、山口　翼（茨　城・98期）、沢田　勇治（山　口・98期）,-,-,藤原　誠（岐　阜・69期）,野崎　翼（岐　阜・121期）、棚瀬　義大（岐　阜・123期）,-,１・７,肉,にんにく･わさび
川口　聖二,14977,103期,中部,岐阜,岐阜県,両,1993/12/25,川口　公太朗（兄９８期）,-,藤原　誠（岐　阜・69期）,-,藤原　誠（岐　阜・69期）,-,333m,1,108のホルモン,貝
川口　満宏,11477,58期,関東,松戸,東京都,追,1967/3/10,-,-,-,松戸競輪場グループ,-,-,-,-,焼肉・魚,-
川口　雄太,15197,111期,四国,小松島,徳島県,両,1996/10/25,川口 八百一（曽祖父期前・引退）川口 武雄（祖父8期・引退）川口 浩貴（叔父48期・引退）川口 秀人（父57期）,皿屋　豊（三　重・111期）、浜田　翔平（大　阪・111期）、藤原俊太郎（岡　山・111期）、照屋　将貴（沖　縄・111期）、三浦　大輝（宮　城・111期）、山本　隼人（大　阪・111期）、寺沼　将彦（東　京・111期）、山口　龍也（長　崎・111期）,島川　将貴（徳　島・109期）、太田　竜馬（徳　島・109期）、田村　裕也（徳　島・113期）,-,川口　秀人（徳　島・57期）,豊田　美香（徳　島・126期）,400m,１・２・３,麻婆豆腐,なし
川越　勇星,15170,111期,南関東,平塚,神奈川県,両,1997/1/19,川越 義朗（父61期・引退）,山本　隼人（大　阪・111期）、菊池竣太朗（静　岡・111期）,吉田輪太郎（神奈川・88期）、菅原　大也（神奈川・107期）,-,川越　義朗（神奈川・61期）,-,400m,1,寿司・焼肉,人参・ゴーヤ・セロリ
河崎　正晴,15660,121期,九州,熊本,熊本県,逃,2000/12/15,河崎公博(65期・引退),長松　大祐（大　分・121期）、中釜　健次（大　阪・121期）、照井　力斗（岩　手・121期）,米丸　俊成（熊　本・72期）,米丸道場,松尾　正人（熊　本・66期）,-,400m,2,モンブラン,梅干し
川津　悠揮,14497,96期,北日本,函館,北海道,追,1988/6/18,-,-,-,-,中村　吉幸（北海道・47期）,-,-,１・３,寿司,-
河端　朋之,14484,95期,中国,玉野,岡山県,逃,1985/2/7,-,-,安田　兼吉（岡　山・44期）、竹本　茂（岡　山・81期）、櫻井　太士（岡　山・94期）,安田グループ,竹本　茂（岡　山・81期）,佐伯　亮輔（岡　山・113期）,-,1,パイナップル・カレー,-
川村　晃司,13726,85期,近畿,向日町,京都府,両,1976/6/17,-,小林　則之（静　岡・85期）、榎本　光男（静　岡・85期）、丸山　勝也（静　岡・85期）,-,京都地区,桝井　道弘（京　都・28期）,山路　藍（京　都・106期）,-,2,焼肉・ラーメン,レバー
河村　雅章,14231,92期,関東,立川,東京都,追,1983/4/21,-,-,馬場　和広（埼　玉・98期）、佐藤　真一（東　京・79期）、長谷川飛向（東　京・121期）,-,富山　健一（東　京・43期）,-,-,3,-,-
神田　紘輔,14837,100期,近畿,奈良,大阪府,追,1986/5/23,-,-,-,阪奈グループ,前田　新（大　阪・68期）,土生　敦弘（大　阪・117期）,-,-,寿司,-
神田　龍,15002,105期,中部,松阪,三重県,逃,1989/7/26,-,野口　大誠（熊　本・105期）、下岡　優季（愛　知・105期）、會澤　龍（宮　城・105期）,-,萩原グループ,萩原　操（三　重・51期）,-,-,1,-,-
菅野　航基,15508,119期,北日本,-,宮城県,逃,2001/4/4,-,大高　彰馬（福　島・119期）、田口　勇介（秋　田・119期）、林　昌幸（愛　媛・119期）、上野　雅彦（香　川・119期）、邊見　光輝（福　島・119期）,櫻井　正孝（宮　城・100期）、荻原　尚人（宮　城・89期）、阿部　拓真（宮　城・107期）、阿部架惟都（宮　城・115期）、木村　佑来（宮　城・119期）、上遠野拓馬（宮　城・119期）,-,櫻井　正孝（宮　城・100期）,-,333m,1,寿司、焼肉,辛いもの
菊谷　信一,14098,90期,近畿,-,大阪府,追,1985/3/28,菊谷 修一(父38期・引退)伊藤 等志(伯父38期・引退)伊藤 世哉(従兄87期・三重),-,稲川　翔（大　阪・90期）、南　修二（大　阪・88期）、伊藤　成紀（大　阪・90期）、松村　友和（大　阪・88期）,ＫＣＳＣグループ,菊谷　修一（大　阪・38期）,-,-,1,プリン,おから
菊地　圭尚,13978,89期,北日本,函館,北海道,追,1980/4/2,-,明田　春喜（北海道・89期）,荒澤　貴史（北海道・85期）、中野　良（北海道・83期）、山田　敦也（北海道・88期）,-,大橋　秀人（北海道・44期）,-,-,1,ハンバーグ・カニ,なし
菊池　岳仁,15412,117期,関東,-,長野県,逃,2000/6/7,-,-,-,長野選手会,等々力久就（長　野・98期）,-,-,-,生姜焼き,特になし
貴志　修己,15458,117期,近畿,和歌山,和歌山県,逃,1996/1/18,-,坂本　紘規（青　森・117期）、倉田　紘希（三　重・117期）、渡邉　雅也（静　岡・117期）、長田　龍拳（静　岡・117期）,-,-,中野　彰人（和歌山・93期）,-,400m,1,肉、魚,特になし
岸澤　賢太,14148,91期,関東,大宮,埼玉県,両,1986/12/2,岸澤 拓也(弟100期・引退),-,鈴木　孝征（埼　玉・75期）、太田　真一（埼　玉・75期）、吉田　勇人（埼　玉・86期）、吉田　裕全（埼　玉・90期）,太田グループ,太田　耕二（埼　玉・59期）,岸澤　拓也（埼　玉・100期）、新井　美菜（埼　玉・116期）、加藤　将武（埼　玉・121期）,-,5,焼肉,きのこ
岸田　剛,15629,121期,近畿,福井,福井県,逃,1999/2/11,-,安彦　統賀（埼　玉・121期）、末廣　快理（兵　庫・121期）、真鍋　智寛（愛　媛・121期）、梅崎　隆介（長　崎・121期）、長松　大祐（大　分・121期）、東矢　圭吾（熊　本・121期）,高田　修汰（福　井・115期）、小松原正登（福　井・117期）、上杉　嘉槻（福　井・119期）、脇本　勇希（福　井・115期）,-,脇本　雄太（福　井・94期）,-,400m,2,タルト,昆布煮
北津留　翼,14113,90期,九州,小倉,福岡県,逃,1985/4/26,北津留千羽（128期）,-,-,-,-,北津留千羽（福　岡・128期）,-,1,ビッグマック,皿うどん
北野　武史,13199,78期,中部,-,石川県,追,1972/7/1,表 大暁(弟82期),-,-,-,-,-,500m,２・７,痛風になりそうな物,生臭い物
北村　信明,14327,93期,四国,小松島,徳島県,追,1985/12/12,-,-,-,-,青井　賢治（徳　島・81期）,-,-,-,-,-
城戸　俊潔,15370,115期,中国,玉野,岡山県,逃,1998/4/18,藤岡 隆治（98期）,池川　瑠威（広　島・115期）、佐々木悠葵（群　馬・115期）,石丸　寛之（岡　山・76期）、筒井　敦史（岡　山・85期）、守安　政雄（岡　山・94期）、高橋清太郎（岡　山・97期）、山崎　駿哉（岡　山・113期）,-,石丸　寛之（岡　山・76期）,-,-,2,焼肉,-
木村　幸希,15118,109期,中国,広島,広島県,両,1992/4/20,-,-,吉本　哲郎（広　島・84期）,-,吉本　哲郎（広　島・84期）,堀井　美咲（広　島・120期）,-,3,和食,ナットウ
木村　隆弘,14190,91期,四国,小松島,徳島県,追,1986/3/7,-,-,-,徳島支部,湊　聖二（徳　島・86期）,二條　祐也（徳　島・97期）,-,1,焼肉,刺身
木村　弘,14791,100期,北日本,-,青森県,逃,1992/3/16,木村 元信(兄81期),-,木村　元信（青　森・81期）,八戸自転車競技場グループ,木村　元信（青　森・81期）,-,-,-,焼き肉、めかぶ、嫁のつくるご飯,-
木村　皆斗,15516,119期,関東,取手,茨城県,逃,2001/8/22,-,橋本　凌汰（岡　山・119期）、北川　大成（熊　本・119期）,横山　尚則（茨　城・100期）、朝倉　智仁（茨　城・115期）、橋本　壮史（茨　城・119期）,-,横山　尚則（茨　城・100期）,-,400m,3,フルーツ,マヨネーズ
木村　佑来,15509,119期,北日本,-,宮城県,逃,2001/11/10,-,菅野　航基（宮　城・119期）、上遠野拓馬（宮　城・119期）,阿部　拓真（宮　城・107期）、阿部架惟都（宮　城・115期）、櫻井　正孝（宮　城・100期）、荻原　尚人（宮　城・89期）,-,阿部　拓真（宮　城・107期）,-,400m,2,梨,梅干し
久島　尚樹,14854,100期,九州,-,宮崎県,両,1991/5/17,-,渡辺　大剛（京　都・100期）、大洞　翔平（岐　阜・100期）,四元　慎也（宮　崎・77期）、那須　萌美（宮　崎・114期）、田村　大（宮　崎・119期）、松本　一志（宮　崎・117期）、福田　要（宮　崎・121期）、石川　航大（宮　崎・123期）、枝村　弘樹（宮　崎・123期）,-,四元　慎也（宮　崎・77期）,石川　航大（宮　崎・123期）、枝村　弘樹（宮　崎・123期）,333m,２・９,焼き肉、担々麺、チキン南蛮,はちみつ、黒砂糖
久木原　洋,14580,97期,関東,西武園,埼玉県,両,1984/8/3,-,平原　啓多（埼　玉・97期）,-,森林公園グループ,戸張　俊行（埼　玉・45期）,-,-,-,肉,-
窪木　一茂,15514,119期,北日本,いわき平,福島県,両,1989/6/6,-,-,-,-,須永　優太（福　島・94期）,-,400m,1,和菓子,お漬物
久保田　泰弘,15195,111期,中国,防府,山口県,追,1995/4/6,久保田 悟（父64期・引退）久保田 勝利（叔父70期・引退）,出澤　拓也（神奈川・111期）、小林裕一朗（千　葉・111期）,山下　一輝（山　口・96期）、清水　裕友（山　口・105期）、宮本　隼輔（熊　本・113期）、安本　昇平（山　口・113期）、曽我　圭佑（熊　本・113期）,-,山下　一輝（山　口・96期）,-,333m,8,焼肉,レバー
熊崎　麻人,15697,123期,関東,大宮,埼玉県,逃,1999/11/18,-,小笠原一真（青　森・123期）、荒川　達郎（埼　玉・123期）、佐藤譲士郎（埼　玉・123期）、助川翔太郎（埼　玉・123期）、吉田　晏生（埼　玉・123期）、鳥海　創（千　葉・123期）、内山　慧大（福　井・123期）、稲毛　知也（和歌山・123期）、村上　翔馬（兵　庫・123期）、龍野琳太郎（岡　山・123期）,山信田　学（埼　玉・83期）、森田　優弥（埼　玉・113期）、藤田　周磨（埼　玉・117期）、近藤　圭佑（埼　玉・121期）、中山　拓人（埼　玉・121期）、山口　多聞（埼　玉・121期）,見沼グループ,山信田　学（埼　玉・83期）,-,500m,２・３・８,トマト、イカの姿焼き,-
久米　康平,14846,100期,四国,小松島,徳島県,両,1991/9/12,久米 康隆(叔父65期・引退),高久保雄介（京　都・100期）,小川真太郎（徳　島・107期）、久米　良（徳　島・96期）,-,久米　康隆（徳　島・65期）,小川真太郎（徳　島・107期）,-,１・３,スイーツ,餡子
久米　良,14553,96期,四国,小松島,徳島県,追,1987/11/27,-,西村　光太（三　重・96期）,-,-,高田　健一（徳　島・61期）,-,-,１・９,果物,-
栗田　貴徳,14331,93期,四国,松山,愛媛県,追,1983/7/5,-,玉手　翔（兵　庫・91期）,橋本　勝弘（愛　媛・89期）、野村　典嗣（愛　媛・109期）,-,伊藤　豊明（愛　媛・41期）,野村　典嗣（愛　媛・109期）,-,7,焼肉・焼き鳥・寿司,-
栗山　和樹,15815,125期,中部,大垣,岐阜県,逃,1997/6/18,-,南部　翔大（大　阪・125期）、松本　昂大（長　崎・125期）,冨岡　健一（岐　阜・64期）、竹田　和幸（岐　阜・78期）、松岡　篤哉（岐　阜・97期）、竹内　雄作（岐　阜・99期）、長尾　拳太（岐　阜・103期）、松岡晋乃介（岐　阜・109期）,北陽グループ,松岡　篤哉（岐　阜・97期）,-,400m,２・９,すし、すき焼き,トマト、きゅうり
栗山　俊介,14944,103期,近畿,奈良,奈良県,両,1988/6/11,-,-,元砂　勇雪（奈　良・103期）、中井　俊亮（奈　良・103期）、野口　正則（奈　良・105期）、佐山　寛明（奈　良・113期）、土生　敦弘（大　阪・117期）,-,花房　克彦（奈　良・60期）,-,-,-,焼き肉,なし
黒沢　征治,15246,113期,関東,大宮,埼玉県,両,1992/3/12,-,森田　優弥（埼　玉・113期）、野本　怜菜（埼　玉・114期）、小玉　勇一（埼　玉・113期）、尾崎　悠生（埼　玉・113期）、植原　琢也（埼　玉・113期）、田中　和磨（岡　山・113期）、安本　昇平（山　口・113期）、渡邉　直弥（静　岡・113期）、宮本　隼輔（熊　本・113期）,細沼　健治（埼　玉・89期）、森田　優弥（埼　玉・113期）、野本　怜菜（埼　玉・114期）、藤田まりあ（埼　玉・116期）,-,細沼　健治（埼　玉・89期）,-,400m,2,焼肉、パフェ,-
黒瀬　浩太郎,15730,123期,中国,広島,広島県,逃,2000/1/24,-,真鍋　智寛（愛　媛・121期）、岸田　剛（福　井・121期）、成海　大聖（大　分・123期）、山根　慶太（岡　山・123期）、長松　空吾（大　分・123期）、荒川　達郎（埼　玉・123期）、梶原　海斗（福　岡・123期）,吉本　哲郎（広　島・84期）、竹内　翼（広　島・109期）、木村　幸希（広　島・109期）、船瀬　惇平（広　島・111期）、増田　仁（広　島・113期）、町田　太我（広　島・117期）、白井優太朗（広　島・119期）、西田　優大（広　島・123期）、藤高　千恵（広　島・124期）,吉本グループ,吉本　哲郎（広　島・84期）,-,333m,２・３,肉、スイーツ、フルーツ,きゅうり
黒田　淳,14613,97期,中国,玉野,岡山県,追,1985/2/20,-,-,-,霞グループ,増成　富夫（岡　山・66期）,-,-,1,イタリアン,シーフード
桑名　僚也,15520,119期,関東,大宮,埼玉県,追,1997/9/30,-,近藤　翔馬（愛　媛・119期）、田川　翔琉（熊　本・119期）、谷口　力也（熊　本・119期）、中島　詩音（山　梨・119期）、徳田　匠（京　都・119期）、松岡　辰泰（熊　本・117期）、太田　龍希（埼　玉・117期）、石塚慶一郎（和歌山・119期）、安彦　統賀（埼　玉・121期）、戸邉　捺希（埼　玉・117期）,齋藤　和伸（埼　玉・91期）、相川　永伍（埼　玉・95期）、金子　哲大（埼　玉・95期）、相川　巧（埼　玉・98期）、高橋　昇平（埼　玉・99期）、山田　雄大（埼　玉・117期）、飯田　威文（埼　玉・67期）、飯田　風音（埼　玉・120期）,スタミナ道場あいかわ,飯田　威文（埼　玉・67期）,-,400m,5,すし、焼肉,食パン、カレー
桑原　大志,13355,80期,中国,防府,山口県,追,1976/1/27,-,原野　裕（山　口・77期）,-,-,白井圭一郎（山　口・61期）,阿部　龍也（山　口・119期）,-,8,肉寿司,生牡蠣
桑原　亮,14194,91期,九州,久留米,福岡県,追,1984/11/22,-,坂本　亮馬（福　岡・90期）、稲吉　悠大（福　岡・92期）、徳吉　正治（福　岡・89期）,稲吉　悠大（福　岡・92期）,-,古川　圭（福　岡・65期）,後藤　大輝（福　岡・121期）、野津　宏介（福　岡・127期）,-,3,焼き肉,なし
郡司　浩平,14741,99期,南関東,川崎,神奈川県,両,1990/9/4,郡司 盛夫(父・50期・引退),-,石井　毅（神奈川・74期）、山田慎一郎（神奈川・89期）、小島　歩（神奈川・97期）,盛寿会,郡司　盛夫（神奈川・50期）,-,400m,3,寿司、焼き肉,トマト
小池　千啓,15519,119期,関東,宇都宮,栃木県,逃,1998/1/27,-,堀江　省吾（長　野・119期）、谷口　力也（熊　本・119期）,幸田　光博（栃　木・67期）,-,幸田　光博（栃　木・67期）,-,500m,3,ポークピカタ,桃
小岩　大介,14117,90期,九州,別府,大分県,追,1984/4/11,小岩 哲也(弟101期),佐藤　力彦（大　分・90期）、梶原　恵介（大　分・92期）、安部　龍文（大　分・94期）,小岩　哲也（大　分・101期）,-,西野　文生（大　分・48期）,-,-,1,刺身,とうふ
纐纈　洸翔,15620,121期,中部,名古屋,愛知県,両,2002/7/8,-,-,鰐渕　正利（愛　知・65期）、近藤　龍徳（愛　知・101期）,-,鰐渕　正利（愛　知・65期）,-,400m,１・２・３,焼肉,トマト、バナナ
幸田　望夢,15340,115期,関東,宇都宮,栃木県,逃,1999/11/6,幸田 光博選手,北野　佑汰（香　川・115期）、板垣　昴（北海道・115期）、宮崎　大空（熊　本・115期）、照井　拓成（岩　手・115期）,坂井　洋（栃　木・115期）、福田　滉（栃　木・115期）、藤野　竜也（栃　木・117期）、眞杉　匠（栃　木・113期）、橋本　瑠偉（栃　木・113期）、上川　直紀（栃　木・117期）、磯田　旭（栃　木・96期）,-,幸田　光博（栃　木・67期）,-,500m,3,チーズ、ハンバーガー(ビックマック),トマト
河野　通孝,13922,88期,関東,取手,茨城県,追,1983/2/26,-,高橋　由記（群　馬・88期）、土田　仁志（滋　賀・88期）、宮内　善光（群　馬・88期）,中川　昌久（茨　城・94期）、戸田　瑞姫（茨　城・122期）、芦澤　大輔（茨　城・90期）、松田　優一（茨　城・90期）、芦澤　辰弘（茨　城・95期）、小坂　丈（茨　城・121期）,-,十文字貴信（茨　城・75期）,戸田　瑞姫（茨　城・122期）,-,9,-,-
古賀　勝大,15365,115期,近畿,和歌山,和歌山県,両,1991/6/3,-,佐藤　礼文（茨　城・115期）、高橋　晋也（福　島・115期）、遠藤　洋希（茨　城・115期）、吉堂　将規（奈　良・115期）、藤井　稜也（岐　阜・115期）,-,バンク,中野　彰人（和歌山・93期）,-,400m,9,餃子,納豆
小酒　大勇,14929,103期,九州,-,宮崎県,両,1994/2/1,小酒 大司(兄94期),-,-,-,鈴木謙太郎（茨　城・90期）,-,-,-,-,-
小堺　浩二,14177,91期,中部,-,石川県,両,1982/11/5,-,-,坂上　樹大（石　川・80期）,-,坂上　忠克（石　川・71期）,山元　大夢（石　川・123期）,-,4,なっとう･ユッケ,カボチャ
古性　優作,14838,100期,近畿,-,大阪府,両,1991/2/22,-,-,-,-,-,-,-,１・３,焼き肉,-
小島　歩,14592,97期,南関東,小田原,神奈川県,追,1989/8/9,小島 壽昭(父52期),東　龍之介（神奈川・96期）、高橋　佑輔（神奈川・96期）,-,小田原競輪場の方々,小島　壽昭（神奈川・52期）,-,-,-,-,-
小嶋　敬二,12895,74期,中部,-,石川県,両,1969/11/9,-,高木　隆弘（神奈川・64期）、武田　豊樹（茨　城・88期）、山口　富生（岐　阜・68期）,-,-,横長　勇（石　川・42期）,-,-,1,焼肉,きゅうり
小谷　実,14313,93期,近畿,向日町,京都府,追,1987/3/21,-,-,山岸　正教（京　都・81期）、川村　晃司（京　都・85期）,-,山岸　正教（京　都・81期）,-,-,1,ギョーザ,-
児玉　慎一郎,13060,76期,四国,高松,香川県,追,1974/9/22,児玉 祐一郎(父29期・引退),-,福島　栄一（香　川・93期）、福島　武士（香　川・96期）、木村　浩宣（香　川・97期）、大林　亮介（香　川・86期）、大山　泰伸（香　川・68期）、上野　雅彦（香　川・119期）、網谷　竜次（香　川・91期）、遠藤　拓巳（香　川・125期）、田野口佳奈（香　川・126期）,-,新田　恵基（香　川・31期）,福島　栄一（香　川・93期）、福島　武士（香　川・96期）、竹井　史香（香　川・106期）,-,2,寿司、焼肉,-
小玉　拓真,14679,98期,中国,玉野,岡山県,両,1989/10/31,-,西田　雅志（広　島・82期）,井上　辰也（岡　山・86期）,-,井上　辰也（岡　山・86期）,-,-,３・５,やきとり(ネギま),辛い食べ物
児玉　虎之介,15717,123期,中部,大垣,岐阜県,逃,2001/6/5,児玉清(28期)児玉利文(76期),鈴木　康平（静　岡・123期）、神尾　敬冬（静　岡・123期）、石田　拓真（愛　知・119期）,児玉　利文（岐　阜・76期）、山田　隼司（岐　阜・91期）,児玉グループ,山田　隼司（岐　阜・91期）,-,400m,4,焼き肉、ハンバーグ,トマト
小橋　明紀,12785,73期,北日本,青森,青森県,追,1973/6/11,-,佐藤　康紀（青　森・73期）、松田　治之（大　阪・73期）,-,-,星　良信（青　森・28期）,小橋　秀幸（青　森・85期）、阿部　秀樹（青　森・89期）、五日市　誠（青　森・89期）、石田　宏樹（青　森・91期）、大崎　和也（青　森・92期）、佐藤　純嘉（青　森・94期）,-,-,-,うなぎ
小林　潤二,12948,75期,関東,前橋,群馬県,追,1972/9/21,小林泰正（甥113期）,梅山　英樹（群　馬・72期）、棟方　次郎（青　森・73期）,金子　真也（群　馬・69期）、山田　武（群　馬・87期）、三好恵一郎（群　馬・99期）、小林　泰正（群　馬・113期）,-,大谷　明（群　馬・51期）,小林　泰正（群　馬・113期）,-,-,焼肉､刺身(ふぐ刺し),春菊
小林　泰正,15243,113期,関東,前橋,群馬県,逃,1994/8/12,小林 潤二（75期）,曽我　圭佑（熊　本・113期）、宮本　隼輔（熊　本・113期）、安本　昇平（山　口・113期）、眞杉　匠（栃　木・113期）、藤井　將（広　島・113期）,小林　潤二（群　馬・75期）、田村　真広（群　馬・83期）、小林　大介（群　馬・79期）,安中クラブ,小林　潤二（群　馬・75期）,-,333m,1,魚,トマト
小林　大介,13240,79期,関東,前橋,群馬県,追,1977/12/29,-,諸橋　愛（新　潟・79期）、佐々木則幸（高　知・79期）、三宅　達也（岡　山・79期）、久冨　武（岡　山・79期）、渡辺　航平（東　京・79期）、四元　隆裕（和歌山・79期）,田村　真広（群　馬・83期）,安中グループ,井上　貴照（群　馬・68期）,-,-,１・３,焼肉、お菓子,-
小林　弘和,14196,91期,九州,武雄,佐賀県,追,1983/8/19,-,-,-,-,原　司（佐　賀・70期）,橋本　宇宙（佐　賀・123期）,-,-,-,-
小林　稜武,15259,113期,関東,松戸,栃木県,逃,1993/4/3,小林 昭二（父53期・引退）,菊池竣太朗（静　岡・111期）、栗本　尚宗（千　葉・113期）、橋本　英也（岐　阜・113期）,石毛　克幸（千　葉・84期）,-,石毛　克幸（千　葉・84期）,-,400m,１・３・９,寿司・焼肉・アイス,-
小林　令,15092,109期,関東,-,山梨県,追,1996/1/28,-,池野　健太（兵　庫・109期）、佐伯　辰哉（広　島・109期）,宮澤　晃（山　梨・75期）、加賀美智史（山　梨・87期）、古屋　琢晶（山　梨・90期）、城　幸弘（山　梨・96期）、村松　俊弥（山　梨・96期）、今村　俊雄（山　梨・99期）、新井僚太郎（山　梨・100期）、志村　太賀（山　梨・90期）、志村　龍己（山　梨・98期）,-,加賀美智史（山　梨・87期）,-,-,2,焼肉,イチジク
小堀　敢太,15778,125期,北日本,函館,北海道,逃,2000/6/26,-,角　宗哉（山　口・125期）、吉田　優斗（岩　手・125期）、秋末　蓮（兵　庫・125期）、佐藤　大地（三　重・125期）、中石　湊（北海道・125期）、藤田　祐大（茨　城・125期）,明田　春喜（北海道・89期）,-,明田　春喜（北海道・89期）,-,333m,１・４,行者にんにく、苺,杏仁豆腐
小松崎　大地,14718,99期,北日本,-,福島県,両,1982/9/3,-,-,岡部　芳幸（福　島・66期）、田村　純一（福　島・92期）、真船圭一郎（福　島・94期）,-,岡部　芳幸（福　島・66期）,-,-,１・２・３・９,焼肉,-
小松原　正登,15454,117期,近畿,福井,福井県,逃,1998/6/28,-,-,脇本　勇希（福　井・115期）、岸田　剛（福　井・121期）、上杉　嘉槻（福　井・119期）、寺崎　浩平（福　井・117期）、寺崎　舞織（福　井・112期）,-,脇本　雄太（福　井・94期）,-,400m,4,赤身肉,-
薦田　将伍,15288,113期,四国,松山,愛媛県,逃,1998/2/4,-,土居　佑次（高　知・113期）、山口　敦也（佐　賀・113期）、舟山　佑京（新　潟・113期）、佐々木堅次（福　島・113期）、佐山　寛明（奈　良・113期）、太田　将成（宮　城・113期）、小原　亮哉（大　分・113期）、藤井　將（広　島・113期）、黒沢　征治（埼　玉・113期）、田中　和磨（岡　山・113期）,-,-,溪　飛雄馬（愛　媛・86期）,-,400m,1,寿司、焼肉,-
小森　貴大,15183,111期,近畿,福井,福井県,両,1989/12/12,-,内藤　久文（愛　知・117期）,北川　紋部（福　井・78期）、野原　雅也（福　井・103期）,-,市田佳寿浩（福　井・76期）,内山　慧大（福　井・123期）,400m,１・４,天ぷら,もやし
近藤　翔馬,15554,119期,四国,松山,愛媛県,逃,1998/3/4,-,-,吉田　智哉（愛　媛・111期）、門田　凌（愛　媛・111期）,-,橋本　強（愛　媛・89期）,-,400m,-,-,-
近藤　保,14458,95期,南関東,千葉,千葉県,追,1982/8/31,-,-,藤田　大輔（千　葉・91期）、吉澤　賢（千　葉・94期）、武井　大介（千　葉・86期）、太刀川一成（千　葉・100期）、野口　裕史（千　葉・111期）、栗本　尚宗（千　葉・113期）,ぞうさん公園グループ,-,-,-,1,海鮮物全般,ふき・セロリ
近藤　俊明,13855,87期,南関東,平塚,神奈川県,追,1978/9/11,-,-,-,-,川越　義朗（神奈川・61期）,植木　和広（神奈川・98期）、吉岡　貴紀（神奈川・98期）、嶋津　拓弥（神奈川・103期）,400m,3,ホルモン,貝類
近藤　夏樹,14590,97期,南関東,千葉,千葉県,両,1987/8/14,近藤 隆司(兄90期),-,近藤　隆司（千　葉・90期）,-,廣田　久将（千　葉・83期）,-,-,1,-,-
近藤　隆司,14080,90期,南関東,松戸,千葉県,両,1984/1/25,近藤 夏樹(弟97期),-,-,松戸競輪場グループ,藤代　長武（千　葉・53期）,-,-,3,甘いもの全て,辛過ぎるもの
今野　大輔,15202,111期,中国,玉野,岡山県,両,1993/9/17,-,菊池竣太朗（静　岡・111期）、高橋　大輝（秋　田・111期）,-,-,宇根　秀俊（愛　媛・80期）,-,400m,1,ピザ,-
紺野　哲也,12487,69期,北日本,-,宮城県,追,1972/12/29,-,-,-,-,泉　有範（宮　城・35期）,-,-,-,焼肉･寿司･果物,山芋
